container;element;operation;n (elements);max resident (elements);average total time (us);total time stddev (us);min total time (us);max total time (us);max rss (kB)
std.container.rbtree;int;upsert;16;32;2.700;1.179;2.000;7.000;2,944
std.container.rbtree;int;lookupFind;16;32;1.433;0.504;1.000;2.000;2,944
std.container.rbtree;int;lookupFail;16;32;1.433;0.504;1.000;2.000;2,944
std.container.rbtree;int;remove;16;32;1.667;0.547;1.000;3.000;2,944
std.container.rbtree;String32;upsert;16;32;8.167;3.141;4.000;15.000;3,072
std.container.rbtree;String32;lookupFind;16;32;2.667;0.994;1.000;4.000;3,072
std.container.rbtree;String32;lookupFail;16;32;2.533;0.730;1.000;4.000;3,072
std.container.rbtree;String32;remove;16;32;3.367;0.615;2.000;5.000;3,072
std.container.rbtree;int;upsert;32;64;4.033;1.402;3.000;8.000;3,072
std.container.rbtree;int;lookupFind;32;64;1.600;0.621;1.000;3.000;3,072
std.container.rbtree;int;lookupFail;32;64;1.633;0.556;1.000;3.000;3,072
std.container.rbtree;int;remove;32;64;2.400;0.563;2.000;4.000;3,072
std.container.rbtree;String32;upsert;32;64;7.800;1.627;5.000;11.000;3,072
std.container.rbtree;String32;lookupFind;32;64;5.500;0.861;4.000;7.000;3,072
std.container.rbtree;String32;lookupFail;32;64;3.567;0.626;3.000;5.000;3,072
std.container.rbtree;String32;remove;32;64;4.667;0.606;4.000;6.000;3,072
std.container.rbtree;int;upsert;64;128;6.933;1.893;5.000;11.000;3,200
std.container.rbtree;int;lookupFind;64;128;2.167;0.791;1.000;4.000;3,200
std.container.rbtree;int;lookupFail;64;128;2.600;0.724;2.000;4.000;3,200
std.container.rbtree;int;remove;64;128;4.067;1.112;3.000;8.000;3,200
std.container.rbtree;String32;upsert;64;128;22.700;4.843;11.000;36.000;3,456
std.container.rbtree;String32;lookupFind;64;128;15.267;1.680;12.000;19.000;3,456
std.container.rbtree;String32;lookupFail;64;128;20.400;2.799;16.000;29.000;3,456
std.container.rbtree;String32;remove;64;128;15.000;1.114;13.000;17.000;3,456
std.container.rbtree;int;upsert;128;256;16.900;5.567;12.000;31.000;3,328
std.container.rbtree;int;lookupFind;128;256;5.233;1.654;3.000;9.000;3,328
std.container.rbtree;int;lookupFail;128;256;6.900;1.185;5.000;11.000;3,328
std.container.rbtree;int;remove;128;256;8.167;2.902;5.000;17.000;3,328
std.container.rbtree;String32;upsert;128;256;51.267;22.095;22.000;102.000;3,968
std.container.rbtree;String32;lookupFind;128;256;13.667;0.606;13.000;15.000;3,968
